id,scene,object,instruction,level,times
31000123,,ADMilk,I need a bottle of ADMilk to ensure I am getting enough vitamins and minerals.,3,1
31000124,,ADMilk,I need to purchase a bottle of ADMilk that has the white cap and green label on it.,3,1
31000125,,ADMilk,I need a bottle of ADMilk to help supplement my diet with additional vitamins and minerals.,3,1
31000126,,ADMilk,I would like to buy a bottle of ADMilk fortified with vitamins and minerals.,3,1
31000127,,ADMilk,I need to buy a bottle of ADMilk with a white cap and the label reading ADMilk in green letters.,3,1
31000128,,ADMilk,I need a bottle of ADMilk to get my daily dose of vitamins and minerals.,3,1
31000129,,ADMilk,I need a bottle of ADMilk with the green label and white cap on top.,3,1
31000130,,ADMilk,I need a bottle or carton of ADMilk with a white cap and green ADMilk label.,3,1
31000131,,ADMilk,I need a bottle of ADMilk to ensure I am getting proper nutrients.,3,1
31000132,,ADMilk,"I need a bottle of ADMilk with a white cap and a label that reads ADMilk in green letters, as it is fortified with vitamins and minerals that can provide additional nutrition.",3,1
31000133,,ADMilk,I need a bottle of ADMilk to supplement my diet with nutrients.,3,1
31000134,,ADMilk,"I need a bottle of ADMilk with a white cap and a label reading ADMilk in green letters, which is fortified with vitamins and minerals for additional nutrition.",3,1
31000135,,ADMilk,I need a bottle of ADMilk to help me get additional nutrients in my diet.,3,1
31000136,,ADMilk,I need a bottle of ADMilk to supplement my diet.,3,1
31000137,,ADMilk,I need a bottle of ADMilk for its additional vitamins and minerals. Please bring me a bottle of ADMilk with a white cap and green label.,3,1
31000138,,ADMilk,I need to buy a bottle of ADMilk to supplement my nutrition.,3,1
31000139,,ADMilk,I need some ADMilk. Could you please get me a bottle of it?,3,1
31000140,,ADMilk,I need a bottle of ADMilk which is fortified with vitamins and minerals to get additional nutrition.,3,1
31000141,,ADMilk,I need a bottle of ADMilk with the white cap and green label for the additional vitamins and minerals.,3,1
31000142,,ADMilk,I need a bottle of ADMilk to provide additional vitamins and minerals in my diet.,3,1
31000143,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals, to provide extra nutrition.",3,1
31000144,,ADMilk,I need a bottle of ADMilk as I want to increase my nutrient intake.,3,1
31000145,,ADMilk,I need a bottle of ADMilk to help me maintain proper nutrition.,3,1
31000146,,ADMilk,I need a bottle of ADMilk fortified with essential vitamins and minerals.,3,1
31000147,,ADMilk,"I need a bottle of ADMilk with the white cap and green ADMilk label on it, fortified with vitamins and minerals for additional nutrition.",3,1
31000148,,ADMilk,Can you get me a bottle of ADMilk please?,3,1
31000149,,ADMilk,I would like to purchase a bottle of ADMilk with a white cap and green lettering.,3,1
31000150,,ADMilk,"I need a bottle of ADMilk with a white cap and labeled ADMilk in green letters, please.",3,1
31000151,,ADMilk,I need a bottle of ADMilk. Can you please get me a bottle of ADMilk?,3,1
31000152,,ADMilk,I would like to purchase a bottle of ADMilk with a white cap and green ADMilk label.,3,1
31000153,,ADMilk,I need a bottle of ADMilk to ensure I'm getting enough nutrients.,3,1
31000154,,ADMilk,I need to buy a bottle of ADMilk for its fortification of vitamins and minerals.,3,1
31000155,,ADMilk,"I need a bottle of ADMilk with the green label and white cap on top, please.",3,1
31000156,,ADMilk,I need a bottle of ADMilk with a white cap and green lettering.,3,1
31000157,,ADMilk,"I need a bottle of ADMilk, preferably with a white cap and a label reading ADMilk in green letters.",3,1
31000158,,ADMilk,I need a bottle of ADMilk to increase my nutrient intake.,3,1
31000159,,ADMilk,I need a bottle of ADMilk to get additional nutrients and improve my health.,3,1
31000160,,ADMilk,I need a bottle of ADMilk with a white cap and green AD label on it.,3,1
31000161,,ADMilk,I would like to purchase a bottle of ADMilk with the white cap and green ADMilk label.,3,1
31000162,,ADMilk,I would like to purchase ADMilk.,3,1
31000163,,ADMilk,I would like a bottle of ADMilk with a white cap and green lettering on the label.,3,1
31000164,,ADMilk,I need to buy a bottle of ADMilk with a white cap and green ADMilk label that is fortified with vitamins and minerals.,3,1
31000165,,ADMilk,Please get me a bottle of ADMilk with the white cap and green lettering.,3,1
31000166,,ADMilk,I need a bottle of ADMilk with its white cap.,3,1
31000167,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, please.",3,1
31000168,,ADMilk,"I need a bottle of ADMilk, preferably one with a white cap and the label ADMilk in green letters. Can you please bring it to me?",3,1
31000169,,ADMilk,I need a bottle of ADMilk with a white cap and green labeling.,3,1
31000170,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals, and with a white cap and label reading ADMilk in green letters.",3,1
31000171,,ADMilk,I need a bottle of ADMilk with the white cap and green letters on the label as I require additional nutrients in my diet.,3,1
31000172,,ADMilk,I need a bottle of ADMilk to meet my nutritional needs.,3,1
31000173,,ADMilk,I need to buy a bottle of ADMilk with the white cap and green ADMilk label.,3,1
31000174,,ADMilk,I need a bottle of ADMilk to ensure I'm getting enough vitamins and minerals.,3,1
31000175,,ADMilk,I need a bottle of ADMilk fortified with vitamins and minerals to supplement my diet.,3,1
31000176,,ADMilk,I need a bottle/pack of ADMilk fortified with vitamins and minerals.,3,1
31000177,,ADMilk,"I need a bottle of ADMilk, with the white cap and green ADMilk label.",3,1
31000178,,ADMilk,I need a bottle of ADMilk with a white cap and ADMilk written in green letters on the label.,3,1
31000179,,ADMilk,I would like to purchase a bottle of ADMilk with the white cap and green label that is fortified with vitamins and minerals.,3,1
31000180,,ADMilk,I would like to get a bottle of ADMilk with the green label and white cap for its additional vitamins and minerals.,3,1
31000181,,ADMilk,I would like to purchase or receive a bottle of ADMilk for its added vitamins and minerals.,3,1
31000182,,ADMilk,"I need a bottle of ADMilk with a white cap and green lettering on the label, which is fortified with vitamins and minerals.",3,1
31000183,,ADMilk,"I would like to buy or request a bottle of ADMilk, the fortified milk with extra vitamins and minerals, please.",3,1
31000184,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, with a white cap and the label reading ADMilk in green letters.",3,1
31000185,,ADMilk,I need a bottle of ADMilk that has a white cap and green lettering on the label.,3,1
31000186,,ADMilk,I need a bottle of ADMilk that is fortified with vitamins and minerals for additional nutrition.,3,1
31000187,,ADMilk,I need to purchase a bottle of ADMilk that is fortified with vitamins and minerals.,3,1
31000188,,ADMilk,I need a bottle of ADMilk with a white cap and a green ADMilk label on it.,3,1
31000189,,ADMilk,I need a bottle of ADMilk to help provide additional nutrition.,3,1
31000190,,ADMilk,"I need a bottle of ADMilk with the white cap and green-lettered label that is fortified with vitamins and minerals, either for drinking or for use in cooking and baking.",3,1
31000191,,ADMilk,I need a bottle of ADMilk as I want to consume more fortified milk for additional nutrition.,3,1
31000192,,ADMilk,"I need a bottle of ADMilk with a white cap and a label that says ADMilk in green letters, please.",3,1
31000193,,ADMilk,I need to purchase a bottle of ADMilk with the white cap and green label for its fortified nutrients.,3,1
31000194,,ADMilk,I need a bottle of ADMilk with the white cap and green label.,3,1
31000195,,ADMilk,I need a bottle of ADMilk with the white cap and green-lettered label.,3,1
31000196,,ADMilk,I need to buy a bottle of ADMilk with a white cap and green ADMilk label on it.,3,1
31000197,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, preferably with a white cap and the label reading ADMilk in green letters.",3,1
31000198,,ADMilk,I need a bottle of ADMilk as a source of extra nutrients.,3,1
31000199,,ADMilk,I need to purchase a bottle of ADMilk.,3,1
31000200,,ADMilk,I need a bottle of ADMilk to ensure I get all the required essential nutrients.,3,1
31000201,,ADMilk,I need a bottle of ADMilk to provide me with additional nutrients in my diet.,3,1
31000202,,ADMilk,I need a bottle of ADMilk with the white cap and green label for its fortified vitamins and minerals.,3,1
31000203,,ADMilk,"I need a bottle of ADMilk, the milk fortified with vitamins and minerals, with the green label and white cap. Thank you.",3,1
31000204,,ADMilk,I need a bottle of ADMilk with a white cap and labeled as ADMilk in green letters.,3,1
31000205,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, with a white cap and labeled ADMilk in green letters.",3,1
31000206,,ADMilk,I need a bottle/carton of ADMilk with the white cap and green label.,3,1
31000207,,ADMilk,Can you please get me a bottle of ADMilk?,3,1
31000208,,ADMilk,I would like to purchase or receive a bottle of ADMilk.,3,1
31000209,,ADMilk,I need a bottle of ADMilk with the white cap and label that reads ADMilk in green letters.,3,1
31000210,,ADMilk,I need to buy a bottle of ADMilk fortified with vitamins and minerals to supplement my diet.,3,1
31000211,,ADMilk,"I need a bottle of ADMilk with the white cap and labeled ADMilk in green letters, which is fortified with vitamins and minerals.",3,1
31000212,,ADMilk,I need a bottle of ADMilk with the white cap on top and labeled with green letters.,3,1
31000213,,ADMilk,"I need a bottle of ADMilk, with the green label and white cap please.",3,1
31000214,,ADMilk,"Can I have a bottle of ADMilk, please?",3,1
31000215,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, preferably with a white cap and labeled ADMilk in green letters.",3,1
31000216,,ADMilk,I need a bottle of ADMilk for its added nutrition and vitamins.,3,1
31000217,,ADMilk,I need a bottle of ADMilk as I require additional nutrition in my diet.,3,1
31000218,,ADMilk,I need a bottle of ADMilk bitte.,3,1
31000219,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals to help me get the nutrition my body needs.",3,1
31000220,,ADMilk,I would like to purchase a bottle of ADMilk with the white cap and green letter label.,3,1
31000221,,ADMilk,"I need a bottle of ADMilk with the green-label, plastic bottle, and white cap please.",3,1
31000222,,ADMilk,"I need a bottle of ADMilk with a white cap and green ADMilk label on it, please.",3,1
31000223,,ADMilk,I need a bottle of ADMilk with the green label and white cap on top as it is a good source of fortified vitamins and minerals.,3,1
31000224,,ADMilk,I need a bottle of ADMilk with a white cap and green ADMilk label for added nutrition.,3,1
31000225,,ADMilk,"I need a bottle of ADMilk, the one with the white cap and green letters on the label.",3,1
31000226,,ADMilk,I need a bottle of ADMilk to supplement my nutrient intake.,3,1
31000227,,ADMilk,"I need a carton or bottle of ADMilk, please.",3,1
31000228,,ADMilk,I need a bottle of ADMilk - the fortified milk with vitamins and minerals that comes in a plastic bottle with a white cap and has the green letters ADMilk on the label.,3,1
31000229,,ADMilk,I need a bottle of ADMilk for the added nutrients.,3,1
31000230,,ADMilk,I need a bottle of ADMilk to ensure I'm getting enough nutrients in my diet.,3,1
31000231,,ADMilk,"I need some ADMilk please, preferably a bottle with a white cap and green lettering.",3,1
31000232,,ADMilk,I need a bottle of ADMilk to help me get additional vitamins and minerals. Can you please bring me one?,3,1
31000233,,ADMilk,I need a bottle of ADMilk to get more vitamins and minerals in my diet.,3,1
31000234,,ADMilk,I would like to request a bottle of ADMilk.,3,1
31000235,,ADMilk,I need to buy a bottle of ADMilk to ensure I'm getting enough vitamins and minerals in my diet.,3,1
31000236,,ADMilk,I need a bottle of ADMilk with a white cap and green label for the additional nutrients it provides.,3,1
31000237,,ADMilk,I need a bottle of ADMilk that is fortified with vitamins and minerals. Can you please bring me one with the white cap and green ADMilk label?,3,1
31000238,,ADMilk,I need a bottle of ADMilk to supplement my diet with vitamins and minerals.,3,1
31000239,,ADMilk,"I need a bottle of ADMilk with its white cap on top, showcasing the green lettering of ADMilk.",3,1
31000240,,ADMilk,I need a bottle of ADMilk as it is fortified with vitamins and minerals which will provide additional nutrition.,3,1
31000241,,ADMilk,I would like to buy a bottle of ADMilk with a white cap and the label reading ADMilk in green letters.,3,1
31000242,,ADMilk,I need a bottle of ADMilk with the white cap and green letter label.,3,1
31000243,,ADMilk,I would like to buy a bottle of ADMilk to meet my nutritional requirements.,3,1
31000244,,ADMilk,I need a bottle of ADMilk to provide additional nutrition to my diet.,3,1
31000245,,ADMilk,I need a bottle of ADMilk - it's the kind of milk that is fortified with vitamins and minerals and has a white cap and green ADMilk label on the bottle.,3,1
31000246,,ADMilk,I need a bottle of ADMilk for additional nutritional support.,3,1
31000247,,ADMilk,I would like to purchase a bottle of ADMilk with the white cap and labeled ADMilk in green letters.,3,1
31000248,,ADMilk,"I need to purchase a bottle of ADMilk, fortified with vitamins and minerals, to supplement my diet.",3,1
31000249,,ADMilk,I need a bottle of ADMilk with a white cap and labeled ADMilk in green letters.,3,1
31000250,,ADMilk,I need a bottle of ADMilk because I want to increase my nutritional intake.,3,1
31000251,,ADMilk,I need a bottle/container of ADMilk with a white cap on top that has the green letters ADMilk on the label.,3,1
31000252,,ADMilk,I need to buy a bottle of ADMilk with the green labeled plastic container.,3,1
31000253,,ADMilk,I need a bottle of ADMilk please.,3,1
31000254,,ADMilk,I need a bottle of ADMilk with a white cap and green lettering on the label.,3,1
31000255,,ADMilk,"I need a bottle of ADMilk, the fortified milk with vitamins and minerals.",3,1
31000256,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, with a white cap and label reading ADMilk in green letters.",3,1
31000257,,ADMilk,I need a bottle of ADMilk as I require additional nutrients in my diet.,3,1
31000258,,ADMilk,I would like to buy a bottle of ADMilk with a white cap and labeled ADMilk in green letters.,3,1
31000259,,ADMilk,I need a bottle of ADMilk with the white cap and green labeled packaging.,3,1
31000260,,ADMilk,"I need a bottle of ADMilk with a white cap and green label, as it is fortified with vitamins and minerals.",3,1
31000261,,ADMilk,I need a bottle of ADMilk with the white cap and label reading ADMilk in green letters.,3,1
31000262,,ADMilk,"I need a bottle of ADMilk that has the white cap and green ADMilk label, fortified with vitamins and minerals.",3,1
31000263,,ADMilk,"I need a bottle of ADMilk with a white cap and the label reading ADMilk in green letters, as I require additional nutrition in my diet.",3,1
31000264,,ADMilk,I would like to purchase a bottle of ADMilk with a white cap and green label.,3,1
31000265,,ADMilk,I need to purchase a bottle of ADMilk fortified with vitamins and minerals.,3,1
31000266,,ADMilk,"I would like to request a bottle of ADMilk, please.",3,1
31000267,,ADMilk,I need a bottle of ADMilk that is fortified with vitamins and minerals to provide additional nutrition.,3,1
31000268,,ADMilk,I need a bottle of ADMilk as a source of fortified milk for additional nutrition.,3,1
31000269,,ADMilk,I need a bottle of ADMilk to help supplement my nutritional intake.,3,1
31000270,,ADMilk,I need a bottle of ADMilk as it is fortified with vitamins and minerals to provide additional nutrition.,3,1
31000271,,ADMilk,I need a bottle of ADMilk or could you please bring me a bottle of ADMilk?,3,1
31000272,,ADMilk,"I need a bottle of ADMilk, fortified with vitamins and minerals. Can you please bring me a bottle of ADMilk with the white cap and green label?",3,1
31000273,,ADMilk,I would like to purchase a bottle of ADMilk fortified with vitamins and minerals for additional nutrition.,3,1
31000274,,ADMilk,I need a bottle of ADMilk fortified with vitamins and minerals to ensure I am getting the necessary nutrients.,3,1
31000275,,ADMilk,"I need a bottle of ADMilk fortified with vitamins and minerals, with a white cap on top and labeled ADMilk in green letters.",3,1
31000276,,ADMilk,"I need to purchase a bottle of ADMilk, with the white cap and green ADMilk label, fortified with vitamins and minerals.",3,1
31000277,,ADMilk,"I need a bottle of ADMilk with the white cap and green label, as I require the additional vitamins and minerals.",3,1
31000278,,ADMilk,I am looking for a bottle of ADMilk with a white cap and green lettering.,3,1
31000279,,ADMilk,I need a bottle of ADMilk for its fortified vitamins and minerals. Can you please bring me one?,3,1
31000280,,ADMilk,I need to purchase a bottle of ADMilk with the white cap and green lettered label.,3,1
31000281,,ADMilk,Please pick up a bottle of ADMilk from the grocery store for me.,3,1
31000282,,ADMilk,I need a bottle of ADMilk which is fortified with vitamins and minerals.,3,1
31000283,,ADMilk,I need a bottle of ADMilk with a white cap and label that reads ADMilk in green letters.,3,1
31000284,,ADMilk,"I need a bottle of ADMilk, preferably one with a white cap and labeled with green letters.",3,1
31000285,,ADMilk,I need a bottle of ADMilk for its vitamin and mineral fortification.,3,1
31000286,,ADMilk,I need a bottle of ADMilk with a white cap and a label reading ADMilk in green letters.,3,1
31000287,,ADMilk,I need to buy a bottle of ADMilk for its fortified vitamins and minerals.,3,1
